age,simulation,node,y,mcc_prob,first_split
11,46,58,TRUE,0.06,58
12,46,52,FALSE,0.01,52
13,46,52,FALSE,0.015,52
14,46,52,FALSE,0.005,52
15,46,52,FALSE,0.005,52
16,46,52,FALSE,0.005,52
17,46,52,FALSE,NA,52
2,46,52,TRUE,0.93,52
3,46,52,TRUE,0.85,52
4,46,60,TRUE,0.965,60
5,46,52,TRUE,0.49,52
6,46,52,FALSE,0.525,52
7,46,52,TRUE,0.76,52
8,46,52,FALSE,0.215,52
9,46,52,FALSE,0.525,52
1,47,58,TRUE,1,58
10,47,53,FALSE,0.5,53
11,47,52,FALSE,0.005,52
12,47,62,FALSE,0.005,62
13,47,68,FALSE,0.005,68
14,47,52,FALSE,0.005,52
15,47,92,FALSE,0.005,92
16,47,52,FALSE,0.005,52
17,47,96,FALSE,0.005,96
2,47,52,TRUE,1,52
3,47,58,TRUE,0.97,58
4,47,52,TRUE,0.94,52
5,47,58,TRUE,0.985,58
6,47,58,TRUE,0.885,58
7,47,58,TRUE,0.42,58
8,47,60,TRUE,0.465,60
9,47,52,TRUE,0.42,52
1,48,52,TRUE,0.55,52
10,48,52,FALSE,0.065,52
11,48,61,TRUE,0.055,61
12,48,52,FALSE,0.01,52
13,48,52,TRUE,0.04,52
14,48,54,FALSE,0.005,54
15,48,52,FALSE,0.005,52
16,48,52,FALSE,0.005,52
17,48,52,FALSE,0.005,52
2,48,58,TRUE,1,58
3,48,52,TRUE,0.795,52
4,48,52,TRUE,0.43,52
5,48,58,TRUE,0.975,58
6,48,58,TRUE,0.995,58
7,48,52,TRUE,0.41,52
8,48,60,TRUE,0.955,60
9,48,53,FALSE,0.095,53
1,49,52,TRUE,0.9,52
10,49,52,TRUE,0.44,52
11,49,52,FALSE,0.02,52
12,49,52,FALSE,0.01,52
13,49,54,FALSE,0.005,54
14,49,53,FALSE,0.005,53
15,49,52,FALSE,0.005,52
16,49,52,FALSE,0.005,52
17,49,52,FALSE,0.005,52
2,49,58,TRUE,0.985,58
3,49,52,TRUE,0.505,52
4,49,52,FALSE,0.95,52
5,49,52,FALSE,0.825,52
6,49,58,TRUE,1,58
7,49,52,TRUE,0.44,52
8,49,52,FALSE,0.39,52
9,49,52,TRUE,0.325,52
1,5,58,TRUE,1,58
10,5,60,FALSE,0.26,60
11,5,58,TRUE,0.79,58
12,5,52,FALSE,0.025,52
13,5,59,FALSE,0.01,59
14,5,62,FALSE,0.005,62
15,5,52,FALSE,0.005,52
16,5,52,FALSE,0.005,52
17,5,67,FALSE,0.005,67
2,5,58,TRUE,1,58
3,5,58,TRUE,1,58
4,5,58,TRUE,1,58
5,5,58,TRUE,0.93,58
6,5,58,TRUE,0.99,58
7,5,58,TRUE,1,58
8,5,58,TRUE,0.855,58
9,5,52,TRUE,0.725,52
1,50,58,TRUE,1,58
10,50,52,TRUE,0.495,52
11,50,52,FALSE,0.01,52
12,50,52,FALSE,NA,52
13,50,52,FALSE,0.01,52
14,50,52,FALSE,0.005,52
15,50,84,FALSE,0.005,84
16,50,52,FALSE,0.005,52
17,50,52,FALSE,0.005,52
2,50,58,TRUE,1,58
3,50,58,TRUE,1,58
4,50,58,TRUE,0.745,58
5,50,52,TRUE,0.695,52
6,50,52,TRUE,0.565,52
7,50,58,TRUE,0.655,58
8,50,52,FALSE,NA,52
9,50,52,FALSE,NA,52
1,6,52,TRUE,0.995,52
10,6,52,FALSE,0.07,52
11,6,52,FALSE,NA,52
12,6,52,TRUE,0.145,52
13,6,52,FALSE,0.085,52
14,6,52,FALSE,0.005,52
15,6,52,FALSE,0.005,52
16,6,52,FALSE,0.005,52
17,6,52,FALSE,0.005,52
2,6,58,TRUE,1,58
3,6,58,TRUE,0.995,58
4,6,58,TRUE,0.885,58
5,6,58,TRUE,0.735,58
6,6,58,TRUE,0.98,58
7,6,58,TRUE,1,58
8,6,52,TRUE,0.55,52
9,6,62,FALSE,0.11,62
1,7,58,TRUE,1,58
10,7,58,TRUE,0.74,58
11,7,58,TRUE,0.245,58
12,7,52,FALSE,0.005,52
13,7,52,FALSE,0.005,52
14,7,52,FALSE,0.005,52
15,7,80,FALSE,0.005,80
16,7,52,FALSE,0.005,52
17,7,52,FALSE,0.005,52
2,7,58,TRUE,1,58
3,7,58,TRUE,1,58
4,7,58,TRUE,1,58
5,7,58,TRUE,1,58
6,7,52,TRUE,0.885,52
7,7,58,TRUE,1,58
8,7,58,TRUE,0.85,58
9,7,60,FALSE,0.405,60
1,8,52,TRUE,1,52
10,8,58,TRUE,0.555,58
11,8,52,FALSE,0.005,52
12,8,73,FALSE,0.005,73
13,8,52,FALSE,0.005,52
14,8,52,FALSE,0.005,52
15,8,65,FALSE,0.005,65
16,8,52,FALSE,0.005,52
17,8,70,FALSE,0.005,70
2,8,58,TRUE,1,58
3,8,52,TRUE,0.835,52
4,8,58,TRUE,1,58
5,8,58,TRUE,0.965,58
6,8,52,TRUE,0.46,52
7,8,52,TRUE,0.39,52
8,8,52,FALSE,NA,52
9,8,58,TRUE,0.825,58
1,9,52,TRUE,1,52
10,9,60,FALSE,0.31,60
