trait,sens,mean_value,cognate_id,max_value,ratio_value_max,n_traits,mean_outgroup,root_form,mean_root_age
3232,rotten,1.842,2878,8.152,0.226,33,0,*pekʷ-,8.213838621645293
3233,rotten,2.957,2162,8.152,0.363,33,0,NA,8.213838621645293
3234,rotten,2.752,460,8.152,0.338,33,0,NA,8.213838621645293
3235,rotten,1.51,8054,8.152,0.185,33,0,*h₁u̯eh₂-,8.213838621645293
3236,rotten,2.579,4337,8.152,0.316,33,0,NA,8.213838621645293
3237,rotten,1.557,4209,8.152,0.191,33,0,NA,8.213838621645293
3238,rotten,0.779,3174,8.152,0.096,33,0,NA,8.213838621645293
3255,round,5.004,2443,5.868,0.853,43,0,*ret-,8.213838621645293
3256,round,2.723,2444,5.868,0.464,43,0,?*krengʰ-,8.213838621645293
3257,round,5.868,6649,5.868,1,43,0,NA,8.213838621645293
3258,round,4.342,8398,5.868,0.74,43,0,NA,8.213838621645293
3259,round,5.219,5922,5.868,0.889,43,0,NA,8.213838621645293
3260,round,3.094,4130,5.868,0.527,43,0,NA,8.213838621645293
3261,round,1.561,9689,5.868,0.266,43,0,NA,8.213838621645293
3262,round,1.054,9688,5.868,0.18,43,0,NA,8.213838621645293
3263,round,5.803,6651,5.868,0.989,43,0,NA,8.213838621645293
3264,round,2.858,2448,5.868,0.487,43,0,*u̯elH-,8.213838621645293
3266,round,1.211,9606,5.868,0.206,43,0,?*greng̑ʰ-,8.213838621645293
3267,round,0.757,6997,5.868,0.129,43,0,NA,8.213838621645293
3268,round,1.108,5008,5.868,0.189,43,0,NA,8.213838621645293
3269,round,2.778,4906,5.868,0.473,43,0,*kʷelh₁-,8.213838621645293
3270,round,0.77,4831,5.868,0.131,43,0,NA,8.213838621645293
3271,round,0.745,3871,5.868,0.127,43,0,NA,8.213838621645293
3272,round,3.392,2447,5.868,0.578,43,0,*kʷelp-,8.213838621645293
3298,run,5.521,5148,7.207,0.766,44,0.045,*bʰegʷ-,8.213838621645293
3299,run,7.207,5225,7.207,1,44,0.045,*dʰeu̯-,8.213838621645293
3301,run,4.872,5110,7.207,0.676,44,0.045,*⁽k̑⁾ers-,8.213838621645293
3302,run,4.349,6948,7.207,0.603,44,0.045,NA,8.213838621645293
3303,run,5.219,5094,7.207,0.724,44,0.045,*ret-,8.213838621645293
3304,run,5.622,6654,7.207,0.78,44,0.045,*dreu̯-,8.213838621645293
3305,run,4.349,6947,7.207,0.603,44,0.045,*h₃rei̯H-,8.213838621645293
3306,run,5.306,5027,7.207,0.736,44,0.045,*dʰre⁽g̑⁾ʰ-,8.213838621645293
3307,run,0.8,5199,7.207,0.111,44,0.045,*tekʷ-,8.213838621645293
3308,run,1.407,5214,7.207,0.195,44,0.045,*terkʷ-,8.213838621645293
3309,run,1.361,9556,7.207,0.189,44,0.045,NA,8.213838621645293
3310,run,2.09,9203,7.207,0.29,44,0.045,NA,8.213838621645293
3311,run,2.108,9199,7.207,0.292,44,0.045,NA,8.213838621645293
3314,run,0.441,6991,7.207,0.061,44,0.045,NA,8.213838621645293
3315,run,1.172,6950,7.207,0.163,44,0.045,*(s)prengʰ-,8.213838621645293
