"age","simulation","node_cs","node_mcc","cs_prob","mcc_prob"
10,27,64,52,0.98,0.005
10,40,67,64,0.695,0.005
1,18,78,52,0.675,0.675
11,27,66,52,0.94,0.005
4,8,52,74,0.685,0.29
11,40,57,52,0.615,0.005
9,35,66,56,0.545,0.01
1,45,88,62,0.95,1
1,31,52,52,0.555,0.555
1,13,52,64,0.97,0.97
1,36,72,52,0.545,0.47
10,45,70,52,0.575,0.005
1,5,52,61,0.83,0.83
12,27,60,55,0.975,0.005
10,13,56,52,0.68,0.005
12,40,61,52,0.58,0.005
10,36,66,52,0.99,0.005
11,13,67,52,1,0.005
2,21,52,52,1,0.395
10,18,52,75,0.505,0.005
5,8,52,52,0.905,0.085
11,45,55,52,0.75,0.005
12,13,66,52,0.91,0.005
13,40,55,52,0.58,0.005
10,31,52,52,0.63,0.005
11,36,64,52,0.685,0.005
13,13,56,52,0.595,NA
3,21,83,69,0.955,0.5
10,5,58,52,0.725,0.005
13,27,52,52,0.535,0.005
11,31,55,52,1,0.005
12,36,16,52,NA,0.005
14,13,66,77,0.555,0.005
11,18,70,52,0.57,0.005
12,31,62,52,1,0.005
11,5,60,76,0.9,0.005
12,45,58,52,0.98,0.005
6,8,52,52,0.535,0.01
14,27,56,52,0.555,0.005
14,40,55,52,0.68,NA
15,13,52,52,0.55,0.005
13,31,55,52,0.645,0.005
15,27,61,52,0.525,0.005
15,40,28,52,NA,0.005
13,36,32,52,NA,0.005
12,18,66,88,0.62,0.005
4,21,52,52,0.57,0.57
14,31,52,52,0.975,0.005
12,5,66,52,1,0.005
7,8,58,52,0.51,NA
16,13,43,52,NA,0.005
5,21,52,52,0.65,NA
13,45,58,65,0.56,0.005
16,40,55,52,1,0.005
13,5,65,52,1,0.005
16,27,58,52,0.935,0.005
14,36,47,52,NA,0.005
8,8,68,70,0.945,0.005
6,21,52,52,0.76,0.225
14,5,49,69,NA,0.005
9,8,69,81,0.905,0.005
17,13,55,52,0.87,0.005
7,21,52,52,0.555,0.16
15,5,26,52,NA,0.005
1,9,52,52,0.895,0.26
8,21,62,80,0.675,0.005
13,18,43,86,NA,0.005
16,5,25,62,NA,0.005
17,40,58,52,0.55,0.005
15,36,20,52,NA,0.005
14,45,54,93,0.665,0.005
15,31,45,52,NA,0.005
17,27,55,52,0.64,0.005
17,5,52,52,0.555,0.005
2,13,52,52,0.515,0.275
15,45,56,52,0.65,0.005
9,21,76,52,0.78,0.005
2,40,52,52,0.71,0.37
2,5,52,53,0.755,0.485
2,27,87,52,0.685,0.105
10,9,55,52,1,0.005
16,31,63,79,0.525,0.005
16,36,9,52,NA,0.005
14,18,52,61,1,0.005
16,45,38,77,NA,0.005
3,27,83,53,1,0.075
11,9,65,52,0.645,0.005
17,31,44,56,NA,0.005
1,22,81,52,1,0.28
3,5,52,52,0.725,0.725
4,27,62,52,0.955,0.265
17,36,25,52,NA,0.005
10,22,68,63,0.77,0.005
15,18,56,86,1,0.005
3,13,52,52,0.555,0.09
12,9,57,52,0.6,0.005
3,40,65,52,0.565,0.295
4,5,52,52,0.69,0.46
17,45,55,52,0.715,0.005
11,22,60,52,0.58,0.005
2,31,85,52,0.555,0.43
16,18,64,52,0.64,0.005
4,40,52,52,0.905,0.43
12,22,54,52,0.75,0.005
17,18,59,52,0.635,0.005
5,27,81,52,0.85,0.015
2,36,52,52,0.86,0.485
13,9,64,52,0.535,0.005
5,40,64,52,0.82,0.225
4,13,69,52,0.83,0.135
13,22,48,52,NA,0.005
3,36,72,52,0.575,0.385
5,5,52,54,0.71,0.11
6,27,70,55,0.55,0.02
6,40,68,55,0.535,0.025
3,31,52,52,0.99,0.2
2,18,77,80,0.505,0.505
2,45,87,90,0.775,0.775
4,36,52,56,0.615,0.2
14,22,59,52,0.745,0.005
3,45,52,52,0.66,0.66
4,31,52,52,0.725,0.04
5,36,52,52,0.515,0.205
3,18,89,52,0.765,0.245
7,40,52,54,0.585,0.065
14,9,61,72,0.88,0.005
4,45,52,52,0.59,0.59
5,13,68,52,0.575,0.08
6,5,52,52,0.725,0.05
8,40,65,52,0.91,0.005
5,31,59,52,0.695,0.045
