trait,sens,mean_value,cognate_id,max_value,ratio_value_max,n_traits,mean_outgroup,root_form
704,come,2.776,8321,6.195,0.448,19,0.2,*stei̯gʰ-
705,come,2.606,580,6.195,0.421,19,0.2,NA
706,come,2.752,372,6.195,0.444,19,0.2,NA
708,come,0.757,3240,6.195,0.122,19,0.2,*kʷi̯eu̯-
709,come,1.835,2486,6.195,0.296,19,0.2,*sed-
710,come,1.578,983,6.195,0.255,19,0.2,*bʰu̯eh₂-
719,count,3.17,7321,6.193,0.512,30,0,*meh₁-
720,count,3.648,1692,6.193,0.589,30,0,*h₂rei̯-
721,count,5.521,1199,6.193,0.891,30,0,*(s)kʷei̯t-
722,count,5.563,2274,6.193,0.898,30,0,*(s)mer-
723,count,3.355,864,6.193,0.542,30,0,*pi̯eh₂-
724,count,4.349,198,6.193,0.702,30,0,NA
725,count,6.193,690,6.193,1,30,0,NA
726,count,2.016,1223,6.193,0.325,30,0,NA
727,count,1.407,1120,6.193,0.227,30,0,*bʰrei̯H-
728,count,4.869,2224,6.193,0.786,30,0,*nem-
729,count,1.168,984,6.193,0.189,30,0,NA
730,count,1.797,6412,6.193,0.29,30,0,NA
732,count,0.759,5490,6.193,0.123,30,0,NA
733,count,1.574,5487,6.193,0.254,30,0,NA
734,count,1.108,3338,6.193,0.179,30,0,NA
749,cry,6.542,6062,6.542,1,44,0,*reu̯dH-
750,cry,3.589,6484,6.542,0.549,44,0,*pleh₂g-
751,cry,5.69,5042,6.542,0.87,44,0,?*kleh₂u̯-
752,cry,2.713,5946,6.542,0.415,44,0,*leh₂-
753,cry,4.24,5220,6.542,0.648,44,0,NA
754,cry,2.19,8443,6.542,0.335,44,0,NA
755,cry,4.194,6339,6.542,0.641,44,0,NA
756,cry,1.955,5240,6.542,0.299,44,0,*bʰrem-
757,cry,1.898,5331,6.542,0.29,44,0,NA
758,cry,0.756,7027,6.542,0.116,44,0,NA
759,cry,3.087,6453,6.542,0.472,44,0,NA
760,cry,1.168,6416,6.542,0.179,44,0,NA
761,cry,0.8,5200,6.542,0.122,44,0,NA
762,cry,0.441,9862,6.542,0.067,44,0,NA
763,cry,2.628,9631,6.542,0.402,44,0,NA
764,cry,4.37,9363,6.542,0.668,44,0,*neu̯(H)-
765,cry,1.835,7322,6.542,0.281,44,0,NA
767,cry,0.757,7128,6.542,0.116,44,0,NA
793,day,6.097,375,6.097,1,17,0.182,*dei̯-
794,day,4.331,8124,6.097,0.71,17,0.182,*(h₂)eg̑ʰ-
