t,family,Delta,value
18.78787878787879,Bantu,R,0.5000016649284915
18.98989898989899,Bantu,T,0.005217753845109658
18.98989898989899,Bantu,R,0.5000013520999858
19.19191919191919,Bantu,T,0.0042373741190232135
19.19191919191919,Bantu,R,0.5000010980497847
19.393939393939394,Bantu,T,0.0034412009377169724
19.393939393939394,Bantu,R,0.5000008917338528
19.595959595959595,Bantu,T,0.0027946231701802063
19.595959595959595,Bantu,R,0.5000007241832521
19.7979797979798,Bantu,T,0.002269532876650163
19.7979797979798,Bantu,R,0.5000005881142463
20,Bantu,T,0.0018431034041215088
20,Bantu,R,0.5000004776116621
0,Indo-European,T,1
0,Indo-European,R,1
0.20202020202020202,Indo-European,T,1
0.20202020202020202,Indo-European,R,1
0.40404040404040403,Indo-European,T,1
0.40404040404040403,Indo-European,R,1
0.6060606060606061,Indo-European,T,1
0.6060606060606061,Indo-European,R,1
0.8080808080808081,Indo-European,T,1
0.8080808080808081,Indo-European,R,1
1.0101010101010102,Indo-European,T,1
1.0101010101010102,Indo-European,R,1
1.2121212121212122,Indo-European,T,1
1.2121212121212122,Indo-European,R,1
1.4141414141414141,Indo-European,T,1
1.4141414141414141,Indo-European,R,1
1.6161616161616161,Indo-European,T,1
1.6161616161616161,Indo-European,R,1
1.8181818181818181,Indo-European,T,1
1.8181818181818181,Indo-European,R,1
2.0202020202020203,Indo-European,T,1
2.0202020202020203,Indo-European,R,1
2.2222222222222223,Indo-European,T,1
2.2222222222222223,Indo-European,R,1
2.4242424242424243,Indo-European,T,1
2.4242424242424243,Indo-European,R,1
2.6262626262626263,Indo-European,T,1
2.6262626262626263,Indo-European,R,1
2.8282828282828283,Indo-European,T,1
2.8282828282828283,Indo-European,R,1
3.0303030303030303,Indo-European,T,1
3.0303030303030303,Indo-European,R,1
3.2323232323232323,Indo-European,T,1
3.2323232323232323,Indo-European,R,1
3.4343434343434343,Indo-European,T,1
3.4343434343434343,Indo-European,R,1
3.6363636363636362,Indo-European,T,1
3.6363636363636362,Indo-European,R,1
3.8383838383838382,Indo-European,T,1
3.8383838383838382,Indo-European,R,1
4.040404040404041,Indo-European,T,1
4.040404040404041,Indo-European,R,1
4.242424242424242,Indo-European,T,1
4.242424242424242,Indo-European,R,1
4.444444444444445,Indo-European,T,1
4.444444444444445,Indo-European,R,1
4.646464646464646,Indo-European,T,1
4.646464646464646,Indo-European,R,1
4.848484848484849,Indo-European,T,1
4.848484848484849,Indo-European,R,1
5.05050505050505,Indo-European,T,1
5.05050505050505,Indo-European,R,1
5.252525252525253,Indo-European,T,1
5.252525252525253,Indo-European,R,1
5.454545454545454,Indo-European,T,1
5.454545454545454,Indo-European,R,1
5.656565656565657,Indo-European,T,1
5.656565656565657,Indo-European,R,1
5.858585858585858,Indo-European,T,1
5.858585858585858,Indo-European,R,0.9378070674577094
6.0606060606060606,Indo-European,T,1
6.0606060606060606,Indo-European,R,0.8571213086075324
6.262626262626262,Indo-European,T,1
6.262626262626262,Indo-European,R,0.7913055511007161
6.4646464646464645,Indo-European,T,1
6.4646464646464645,Indo-European,R,0.7376193244613967
6.666666666666667,Indo-European,T,1
6.666666666666667,Indo-European,R,0.6938272138795221
6.8686868686868685,Indo-European,T,1
6.8686868686868685,Indo-European,R,0.6581057808553841
7.070707070707071,Indo-European,T,1
7.070707070707071,Indo-European,R,0.6289676379263671
7.2727272727272725,Indo-European,T,1
7.2727272727272725,Indo-European,R,0.6051995160602007
7.474747474747475,Indo-European,T,1
7.474747474747475,Indo-European,R,0.585811745932875
7.6767676767676765,Indo-European,T,1
7.6767676767676765,Indo-European,R,0.5699970495666007
7.878787878787879,Indo-European,T,1
7.878787878787879,Indo-European,R,0.5570969264727674
8.080808080808081,Indo-European,T,1
8.080808080808081,Indo-European,R,0.5465742346687731
8.282828282828282,Indo-European,T,1
8.282828282828282,Indo-European,R,0.5379908248829566
8.484848484848484,Indo-European,T,1
8.484848484848484,Indo-European,R,0.5309892966691123
8.686868686868687,Indo-European,T,1
8.686868686868687,Indo-European,R,0.525278116782273
8.88888888888889,Indo-European,T,1
8.88888888888889,Indo-European,R,0.5206194801670061
9.09090909090909,Indo-European,T,1
