"node","tree_age","tree_simulation_number","prob_mean","prob_inf","prob_sup"
58,17,6,0.015,0.004,0.047
58,13,50,0.01,0.002,0.039
58,2,38,0.915,0.865,0.948
58,17,42,0.005,0,0.032
58,1,27,1,0.977,1
58,9,43,0.065,0.037,0.111
52,1,13,1,0.977,1
58,9,11,0.085,0.052,0.135
58,13,40,0.06,0.033,0.105
58,13,45,0.03,0.012,0.067
58,5,10,0.98,0.946,0.994
58,6,29,0.945,0.901,0.971
58,9,49,0.35,0.285,0.421
58,14,32,0.02,0.006,0.054
58,13,31,0.01,0.002,0.039
58,6,25,0.73,0.662,0.789
58,14,28,0.02,0.006,0.054
58,5,3,0.995,0.968,1
52,10,13,0.56,0.488,0.629
58,10,27,0.22,0.166,0.285
58,14,40,0.02,0.006,0.054
58,1,44,0.925,0.877,0.956
58,15,1,0,0,0.023
58,14,45,0.005,0,0.032
58,3,38,1,0.977,1
58,14,14,0.02,0.006,0.054
58,12,22,0.055,0.029,0.099
58,2,33,0.995,0.968,1
58,15,46,0.005,0,0.032
58,1,12,1,0.977,1
58,10,9,0.085,0.052,0.135
58,6,16,0.875,0.819,0.916
58,10,36,0.05,0.026,0.093
58,1,5,1,0.977,1
58,15,32,0,0,0.023
52,14,19,0.035,0.015,0.074
58,14,50,0,0,0.023
58,16,37,0.005,0,0.032
58,14,41,0.01,0.002,0.039
58,7,29,0.955,0.914,0.978
58,7,25,0.245,0.188,0.312
58,15,28,0.015,0.004,0.047
58,6,20,0.925,0.877,0.956
58,14,31,0.03,0.012,0.067
58,16,2,0,0,0.023
58,11,27,0.045,0.022,0.086
58,15,40,0.025,0.009,0.061
58,10,44,0.195,0.144,0.258
58,15,47,0.005,0,0.032
58,7,48,0.02,0.006,0.054
52,11,13,0.32,0.257,0.39
58,14,23,0.005,0,0.032
58,6,3,0.985,0.953,0.996
58,7,39,0.99,0.961,0.998
58,2,24,0.995,0.968,1
58,5,15,1,0.977,1
58,2,42,0.895,0.842,0.932
58,15,45,0.015,0.004,0.047
58,4,7,1,0.977,1
58,4,38,0.66,0.589,0.724
58,10,18,0.205,0.153,0.269
58,8,29,0.88,0.825,0.92
58,16,1,0.015,0.004,0.047
58,10,12,0.095,0.06,0.147
58,10,5,0.32,0.257,0.39
58,16,46,0,0,0.023
58,16,40,0.01,0.002,0.039
58,2,6,1,0.977,1
58,15,31,0.01,0.002,0.039
58,16,28,0.03,0.012,0.067
58,11,44,0.185,0.135,0.247
58,9,34,0.905,0.853,0.94
58,5,38,0.995,0.968,1
58,9,29,0.19,0.139,0.253
58,17,37,0.005,0,0.032
58,17,46,0.015,0.004,0.047
58,16,45,0.02,0.006,0.054
58,11,5,0.79,0.726,0.843
58,6,10,1,0.977,1
58,17,1,0.01,0.002,0.039
58,16,31,0.015,0.004,0.047
58,17,40,0.005,0,0.032
58,5,7,1,0.977,1
58,12,44,0.005,0,0.032
58,17,2,0.01,0.002,0.039
58,11,12,0.215,0.161,0.28
58,15,50,0.01,0.002,0.039
58,3,6,0.995,0.968,1
58,11,9,0.085,0.052,0.135
58,7,16,0.44,0.371,0.512
58,11,36,0.005,0,0.032
58,15,14,0.015,0.004,0.047
58,15,41,0.01,0.002,0.039
58,6,38,0.35,0.285,0.421
58,1,35,1,0.977,1
58,2,46,0.93,0.883,0.96
58,7,3,0.99,0.961,0.998
58,8,39,0.745,0.678,0.803
