age,simulation,node,y,cs_prob,first_split
14,38,69,FALSE,0.625,69
15,38,69,FALSE,0.675,69
17,38,65,FALSE,0.555,65
2,38,52,TRUE,0.915,52
3,38,52,TRUE,1,52
4,38,52,TRUE,0.66,52
5,38,52,TRUE,0.995,52
6,38,81,FALSE,0.6,81
7,38,52,TRUE,0.61,52
8,38,80,TRUE,0.51,80
9,38,52,TRUE,0.595,52
1,39,52,TRUE,1,52
10,39,67,TRUE,0.77,67
11,39,72,FALSE,0.54,72
12,39,52,TRUE,0.685,52
13,39,73,TRUE,0.51,73
14,39,68,FALSE,0.58,68
15,39,70,TRUE,0.585,70
16,39,52,TRUE,0.575,52
2,39,52,TRUE,1,52
3,39,52,TRUE,1,52
4,39,52,TRUE,1,52
5,39,52,TRUE,1,52
6,39,52,TRUE,0.995,52
7,39,52,TRUE,0.99,52
8,39,52,TRUE,0.745,52
9,39,75,TRUE,0.59,75
1,4,52,TRUE,1,52
10,4,64,TRUE,0.99,64
11,4,64,TRUE,0.58,64
12,4,72,TRUE,0.65,72
13,4,71,FALSE,0.52,71
14,4,67,TRUE,0.89,67
15,4,69,TRUE,0.92,69
16,4,68,FALSE,0.505,68
17,4,56,TRUE,1,56
2,4,52,TRUE,1,52
3,4,52,TRUE,1,52
4,4,52,TRUE,1,52
5,4,52,TRUE,0.995,52
6,4,52,TRUE,0.905,52
7,4,52,TRUE,0.94,52
8,4,52,FALSE,0.66,52
9,4,70,TRUE,0.96,70
1,40,52,TRUE,1,52
10,40,52,TRUE,0.51,52
11,40,70,FALSE,0.58,70
12,40,69,FALSE,0.805,69
13,40,69,FALSE,0.62,69
14,40,52,TRUE,0.56,52
15,40,52,TRUE,0.945,52
16,40,52,TRUE,0.55,52
2,40,52,TRUE,1,52
3,40,52,TRUE,1,52
4,40,87,FALSE,0.925,87
5,40,52,TRUE,0.97,52
6,40,52,TRUE,0.61,52
7,40,52,TRUE,0.84,52
8,40,52,TRUE,0.745,52
9,40,52,TRUE,0.65,52
1,41,52,TRUE,1,52
10,41,52,TRUE,0.745,52
11,41,65,FALSE,0.545,65
12,41,71,TRUE,0.515,71
13,41,70,FALSE,0.71,70
14,41,67,FALSE,0.69,67
15,41,68,TRUE,0.915,68
16,41,69,FALSE,0.58,69
17,41,52,TRUE,0.635,52
2,41,52,TRUE,1,52
3,41,52,TRUE,1,52
4,41,52,TRUE,1,52
5,41,52,TRUE,0.99,52
6,41,52,TRUE,0.94,52
7,41,52,TRUE,0.87,52
8,41,52,TRUE,0.71,52
9,41,52,TRUE,0.505,52
1,42,52,TRUE,0.51,52
10,42,52,TRUE,0.515,52
11,42,66,FALSE,0.54,66
12,42,69,TRUE,0.68,69
13,42,71,TRUE,0.64,71
14,42,67,FALSE,0.56,67
15,42,66,FALSE,0.63,66
16,42,52,TRUE,0.535,52
17,42,66,FALSE,0.72,66
2,42,52,TRUE,0.895,52
3,42,52,TRUE,0.92,52
4,42,52,TRUE,0.765,52
5,42,52,TRUE,0.66,52
6,42,87,FALSE,0.655,87
7,42,52,TRUE,0.505,52
8,42,70,TRUE,0.735,70
