age,simulation,node,y,hipstr_prob,first_split
11,7,58,TRUE,0.233,58
12,7,52,FALSE,0.023,52
13,7,54,FALSE,0.004,54
14,7,52,FALSE,0,52
15,7,57,FALSE,0,57
16,7,58,TRUE,0.008,58
17,7,52,FALSE,0.003,52
2,7,58,TRUE,0.999,58
3,7,58,TRUE,0.999,58
4,7,58,TRUE,1,58
5,7,58,TRUE,0.997,58
6,7,58,TRUE,0.893,58
7,7,58,TRUE,0.996,58
8,7,58,TRUE,0.851,58
9,7,60,FALSE,0.419,60
1,8,58,TRUE,0.998,58
10,8,58,TRUE,0.551,58
11,8,53,FALSE,0.04,53
12,8,58,TRUE,0.049,58
13,8,61,FALSE,0,61
14,8,53,FALSE,0.002,53
15,8,65,FALSE,0,65
16,8,53,FALSE,0.001,53
17,8,69,FALSE,0,69
2,8,58,TRUE,0.999,58
3,8,58,TRUE,0.842,58
4,8,58,TRUE,0.997,58
5,8,58,TRUE,0.983,58
6,8,58,TRUE,0.548,58
7,8,58,TRUE,0.433,58
8,8,52,FALSE,0.303,52
9,8,58,TRUE,0.817,58
